year,topic,papers,decisions,acceptance_rate,reviewed,mean_score,mean_disagreement,high_disagreement_rate
2025,language models,343,343,0.40816326530612246,338,5.34879191321499,1.0548358965012288,0.11078717201166181
2025,meta learning,29,29,0.27586206896551724,29,5.06551724137931,1.1337627934023202,0.10344827586206896
2025,model-based RL,21,21,0.6666666666666666,21,6.066666666666667,0.9159777688761833,0.09523809523809523
2025,multi-agent RL,67,67,0.31343283582089554,67,5.03134328358209,0.9674244377339506,0.07462686567164178
2025,multi-task learning,38,38,0.3684210526315789,38,5.0890350877192985,1.0299548629857935,0.15789473684210525
2025,neural architecture search,18,18,0.2222222222222222,17,4.892156862745098,1.0752448500503484,0.1111111111111111
2025,neuroscience,37,37,0.35135135135135137,37,5.536036036036037,1.1733461489368506,0.1891891891891892
2025,object detection,42,42,0.11904761904761904,42,4.628968253968254,0.9851149132152073,0.07142857142857142
2025,offline RL,72,72,0.375,72,5.229166666666667,0.8981278135403047,0.041666666666666664
2025,optimal transport,57,57,0.40350877192982454,57,5.793859649122807,1.0301451300055724,0.07017543859649122
2025,optimization,254,254,0.3031496062992126,247,5.11959706959707,1.0322949190071284,0.07480314960629922
2025,out-of-distribution,96,96,0.3125,95,5.269122807017544,0.957050251831494,0.041666666666666664
2025,privacy,100,100,0.36,98,5.400898931000972,1.0973188003291068,0.1
2025,pruning,30,30,0.4,30,5.418333333333334,0.9929158304913968,0.03333333333333333
2025,robustness,52,52,0.3269230769230769,52,5.185119047619048,1.075111859363655,0.057692307692307696
2025,safety,146,146,0.2945205479452055,143,5.227922077922078,1.1551166143902074,0.1643835616438356
2025,self-supervised learning,156,156,0.3141025641025641,155,5.085268817204302,1.0215471776008616,0.08974358974358974
2025,semi-supervised learning,12,12,0.25,12,4.979166666666667,1.122505428395902,0.08333333333333333
2025,time series,114,114,0.19298245614035087,113,4.827728613569321,1.086963307211227,0.12280701754385964
2025,transfer learning,107,107,0.2336448598130841,106,4.745754716981132,0.941705442375261,0.018691588785046728
2025,transformers,242,242,0.3347107438016529,237,5.180661040787623,1.0622790310587582,0.07851239669421488
2025,vision-language models,155,155,0.3870967741935484,153,5.317989417989418,0.9654061077727591,0.0967741935483871
